area,aspect_ratio,circularity,solidity,h,s,v,label
1048.5,0.8095238095238095,0.17819011280673144,0.4945754716981132,8.156996587030717,143.16723549488054,120.15017064846417,0
1183.5,0.8125,0.151713632262594,0.4845445240532242,8.259036144578314,141.47213855421688,121.75301204819277,0
1252.5,0.5060240963855421,0.12097931786967116,0.5405697022011221,9.091872791519434,134.9590106007067,138.21272084805653,0
1779.0,0.5,0.2948853595709264,0.6840992116900596,9.242647058823529,133.7268907563025,138.5829831932773,0
1685.5,0.5232558139534884,0.22148997104387674,0.6704455051710422,9.257940854326396,134.06626506024097,137.13855421686748,0
12693.0,2.541176470588235,0.49326614038336053,0.9364072298045002,173.84872328936203,222.61991822880503,112.87657178122348,0
6339.5,1.8037383177570094,0.15438480381583902,0.5286440960640427,129.07547737182378,188.468200270636,139.49541422342506,0
1000.0,0.5684210526315789,0.19408959538682424,0.764525993883792,8.504504504504505,140.62702702702703,120.20450450450451,0
1022.0,0.5714285714285714,0.18316592600295034,0.7745358090185677,8.248681898066783,140.39543057996485,119.39982425307556,0
1272.5,0.6612903225806451,0.3150350727195999,0.7502948113207547,170.14898255813952,175.4549418604651,199.8015988372093,0
17335.5,1.6166666666666667,0.07878072456716533,0.6051630245060392,99.81437988146016,164.8782473827065,123.76978895474437,0
17692.5,1.6384180790960452,0.07328285785838623,0.6265604249667994,105.9315692441167,164.72172215594838,124.32057260600803,0
490.0,1.5833333333333333,0.5683870426534299,0.831918505942275,5.4440298507462686,134.95149253731344,147.73134328358208,0
640.5,0.8372093023255814,0.29508632314595706,0.6185417672621922,8.970670391061454,130.77653631284917,87.55167597765363,0
752.5,0.7608695652173914,0.3123949180046113,0.6600877192982456,8.931490384615385,130.546875,87.4795673076923,0
935.0,0.7090909090909091,0.28730956706826494,0.6603107344632768,9.00875486381323,130.89785992217898,88.17607003891051,0
752.5,0.8536585365853658,0.4165511019858104,0.7417447018235584,8.989051094890511,130.68369829683698,89.2603406326034,0
2494.5,1.5943396226415094,0.14601046133850396,0.6542950819672131,171.8551800965466,152.76197549201635,180.76828815447456,0
824.0,1.275,0.47790910726976743,0.8194927896568871,32.05073280721533,136.70011273957158,126.37767756482525,0
743.0,1.3243243243243243,0.45844342196874355,0.8287785833798104,23.854658385093167,137.02608695652174,113.35403726708076,0
1016.5,1.186046511627907,0.35831238966662404,0.6998278829604131,7.915684496826836,138.2420670897552,103.34995466908431,0
1031.0,0.9259259259259259,0.3012060711043901,0.6077217801355732,8.052351375332742,137.76220053238688,103.73025732031944,0
570.5,0.5,0.45271388659860257,0.8624338624338624,7.890127388535032,137.12101910828025,112.74522292993632,0
